Day,Parent_organisation,Customer,Customer_Id,SIM_State,Sum_Bytes_upload,Sum_Bytes_download,Sum_Total_Kbytes,Nr._of_Voice_calls,Nr._of_SMS_MO,Nr._of_SMS_payload,Nr._of_SMS_transactional,Nr._of_Transactional_SMS_enh.,Nr._of_SMS_wakeup,Nr._of_SMS_P2P_MO,Nr._of_SMS_P2P_MT,Total_Nr._of_SMS,Nr._of_PS_sessions,Sum_Total_Duration,Nr._of_SIMs
2023-03-23,VFCZ,HARDWARIO,100217240,Active.Live,"47,878,803","23,639,196","69,842",0,0,0,0,0,0,0,0,0,"1,402",0,747
2023-03-24,VFCZ,HARDWARIO,100217240,Active.Live,"46,143,270","24,350,279","68,841",0,0,0,0,0,0,0,0,0,"1,545",0,749
2023-03-25,VFCZ,HARDWARIO,100217240,Active.Live,"49,458,012","26,031,709","73,720",0,0,0,0,0,0,0,0,0,"1,497",0,748
2023-03-26,VFCZ,HARDWARIO,100217240,Active.Live,"57,467,839","32,365,213","87,728",0,0,0,0,0,0,0,0,0,"1,488",0,748
2023-03-27,VFCZ,HARDWARIO,100217240,Active.Live,"61,594,355","34,715,094","94,052",0,0,0,0,0,0,0,0,0,"1,702",0,744
2023-03-28,VFCZ,HARDWARIO,100217240,Active.Live,"54,730,750","23,054,601","75,962",0,0,0,0,0,0,0,0,0,"2,564",0,747
2023-03-29,VFCZ,HARDWARIO,100217240,Active.Live,"60,190,025","36,496,152","94,420",0,0,0,0,0,0,0,0,0,"3,234",0,748
2023-03-30,VFCZ,HARDWARIO,100217240,Active.Live,"50,102,823","24,426,816","72,783",0,0,0,0,0,0,0,0,0,"2,238",0,754
2023-03-31,VFCZ,HARDWARIO,100217240,Active.Live,"48,870,715","31,066,877","78,064",0,0,0,0,0,0,0,0,0,"1,720",0,758
2023-04-01,VFCZ,HARDWARIO,100217240,Active.Live,"53,567,747","31,002,869","82,588",0,0,0,0,0,0,0,0,0,"1,638",0,761
2023-04-02,VFCZ,HARDWARIO,100217240,Active.Live,"51,532,146","26,447,623","76,152",0,0,0,0,0,0,0,0,0,"1,547",0,756
2023-04-03,VFCZ,HARDWARIO,100217240,Active.Live,"51,519,788","28,494,759","78,139",0,0,0,0,0,0,0,0,0,"1,719",0,754
2023-04-04,VFCZ,HARDWARIO,100217240,Active.Live,"45,425,413","22,891,758","66,716",0,0,0,0,0,0,0,0,0,"1,810",0,757
2023-04-05,VFCZ,HARDWARIO,100217240,Active.Live,"46,571,659","23,377,661","68,310",0,0,0,0,0,0,0,0,0,"1,940",0,754
2023-04-06,VFCZ,HARDWARIO,100217240,Active.Live,"46,180,950","23,198,144","67,753",0,0,0,0,0,0,0,0,0,"1,732",0,758
2023-04-07,VFCZ,HARDWARIO,100217240,Active.Live,"49,211,588","28,869,063","76,251",0,0,0,0,0,0,0,0,0,"1,742",0,765
2023-04-08,VFCZ,HARDWARIO,100217240,Active.Live,"54,425,830","28,935,249","81,407",0,0,0,0,0,0,0,0,0,"1,674",0,745
2023-04-09,VFCZ,HARDWARIO,100217240,Active.Live,"59,674,499","34,949,901","92,407",0,0,0,0,0,0,0,0,0,"1,700",0,745
2023-04-10,VFCZ,HARDWARIO,100217240,Active.Live,"53,170,379","25,096,226","76,432",0,0,0,0,0,0,0,0,0,"1,552",0,744
2023-04-11,VFCZ,HARDWARIO,100217240,Active.Live,"50,230,632","25,661,976","74,114",0,0,0,0,0,0,0,0,0,"1,643",0,750
2023-04-12,VFCZ,HARDWARIO,100217240,Active.Live,"45,640,617","24,974,598","68,960",0,0,0,0,0,0,0,0,0,"1,391",0,752
2023-04-13,VFCZ,HARDWARIO,100217240,Active.Live,"45,386,569","23,201,406","66,980",0,0,0,0,0,0,0,0,0,"1,539",0,745
2023-04-14,VFCZ,HARDWARIO,100217240,Active.Live,"44,755,303","23,823,294","66,971",0,0,0,0,0,0,0,0,0,"1,387",0,744
2023-04-15,VFCZ,HARDWARIO,100217240,Active.Live,"48,226,121","27,410,724","73,864",0,0,0,0,0,0,0,0,0,"1,568",0,758
2023-04-16,VFCZ,HARDWARIO,100217240,Active.Live,"56,058,838","29,548,044","83,600",0,0,0,0,0,0,0,0,0,"1,468",0,752
