ICCID,Total_Kbytes
89882390000031402640,0.30
89882390000031403085,5.48
89882390000031403184,5.48
89882390000036023441,5.48
89882390000047985513,1.08
89882390000047985539,0.35
89882390000047985562,1.08
89882390000047985653,5.10
89882390000047985695,1.08
89882390000047985711,0.35
89882390000047985752,1.08
89882390000047985778,1.57
89882390000047985786,1.21
89882390000047985794,1.08
89882390000047985836,1.21
89882390000047985851,1.21
89882390000047985877,1.08
89882390000047986032,0.66
89882390000047986057,4.90
89882390000047986214,5.31
89882390000047986222,5.31
89882390000047986248,5.31
89882390000047986255,5.31
89882390000047986271,5.31
89882390000047986297,5.31
89882390000047986305,5.31
89882390000047986446,5.48
89882390000047986503,5.48
89882390000047986644,0.65
89882390000047986677,7.11
89882390000047986875,185.31
89882390000047986891,161.65
89882390000047986933,6.56
89882390000047986958,161.33
89882390000047987006,161.67
89882390000047987055,3.97
89882390000047987089,16.25
89882390000047987121,161.69
89882390000047987279,5.39
89882390000047987576,71.86
89882390000047987618,8.60
89882390000047987675,4.90
89882390000047987683,5.31
89882390000047987691,5.48
89882390000047987774,9.84
89882390000047987808,8.75
89882390000047987824,2.79
89882390000047987832,5.48
89882390000047987840,5.06
89882390000047987865,9.34
89882390000047987873,9.50
89882390000047987907,5.48
89882390000047987915,3.40
89882390000047987931,86.61
89882390000047987949,9.87
89882390000047988012,8.75
89882390000047988061,9.43
89882390000047988137,5.48
89882390000047988145,9.49
89882390000047988152,9.46
89882390000047988160,5.48
89882390000047988202,9.65
89882390000047988269,5.06
89882390000047988277,5.48
89882390000047988285,5.06
89882390000047988293,5.48
89882390000047988343,4.90
89882390000047988350,9.84
89882390000047988426,3.61
89882390000047988517,5.48
89882390000047988533,5.48
89882390000047988574,5.31
89882390000047988582,9.82
89882390000047988590,5.48
89882390000047988608,5.31
89882390000047988624,4.49
89882390000047988632,5.31
89882390000047988640,5.48
89882390000047988681,9.95
89882390000047988715,5.48
89882390000047988723,6.09
89882390000047988749,5.48
89882390000047988764,4.64
89882390000047988806,3.28
89882390000047988848,5.44
89882390000047988905,95.62
89882390000047988921,5.48
89882390000047988962,5.43
89882390000047988996,5.48
89882390000047989010,6.21
89882390000047989036,5.48
89882390000047989044,5.48
89882390000047989051,6.60
89882390000047989226,5.48
89882390000047989317,5.48
89882390000047989341,5.48
89882390000047989390,5.48
89882390000047989440,5.48
89882390000047989598,8.77
89882390000047989689,0.66
89882390000047989721,3.17
89882390000047989952,5.48
89882390000047989978,7.11
89882390000047990018,5.48
89882390000047990026,8.38
89882390000047990323,5.48
89882390000047990349,5.48
89882390000047990364,5.48
89882390000093993874,9.98
89882390000093993908,7.72
89882390000093993957,8.80
89882390000093993973,5.48
89882390000093993999,3.10
89882390000093994054,9.78
89882390000093994088,0.65
89882390000093994112,42.96
89882390000093994138,8.42
89882390000093994161,5.06
89882390000093994179,9.30
89882390000093994278,5.48
89882390000093994302,5.48
89882390000093994310,2.58
89882390000093994369,0.65
89882390000093994377,0.65
89882390000093994419,0.65
89882390000093994542,5.48
89882390000093994583,5.48
89882390000093994609,8.83
89882390000093994641,48.90
89882390000093994658,8.03
89882390000093994666,8.80
89882390000093994708,8.68
89882390000093994716,8.80
89882390000093994732,3.86
89882390000093994757,0.65
89882390000093994799,9.23
89882390000093994849,3.53
89882390000093994864,5.48
89882390000093994872,3.25
89882390000093994880,3.25
89882390000093994898,3.25
89882390000093994906,5.48
89882390000093994930,5.48
89882390000093994963,7.87
89882390000093995002,5.48
89882390000093995010,5.48
89882390000093995028,5.48
89882390000093995036,7.87
89882390000093995069,7.87
89882390000093995077,7.87
89882390000093995119,7.87
89882390000093995127,5.48
89882390000093995143,3.72
89882390000093995168,5.48
89882390000093995200,5.48
89882390000093995234,7.87
89882390000093995242,7.87
89882390000093995267,7.87
89882390000093995283,7.87
89882390000093995325,7.87
89882390000093995341,7.87
89882390000093995382,7.87
89882390000093995424,7.87
89882390000093995432,5.27
89882390000093995465,8.81
89882390000093995481,7.87
89882390000093995507,5.75
89882390000093995580,5.48
89882390000093995713,7.27
89882390000093995747,7.87
89882390000093995762,5.48
89882390000093995788,7.87
89882390000093995796,5.48
89882390000093995804,8.44
89882390000093995812,8.95
89882390000093995820,3.65
89882390000093995846,7.87
89882390000093995861,5.48
89882390000093995879,7.87
89882390000093995895,7.87
89882390000093995911,5.06
89882390000093995945,7.87
89882390000093995960,3.02
89882390000093995978,5.06
89882390000093995994,5.48
89882390000093996042,5.48
89882390000093996067,5.48
89882390000093996109,7.87
89882390000093996174,7.27
89882390000093996190,7.87
89882390000093996208,7.87
89882390000093996216,7.87
89882390000093996257,5.48
89882390000093996265,7.87
89882390000093996281,7.87
89882390000093996315,5.48
89882390000093996323,3.25
89882390000093996331,3.25
89882390000093996349,5.06
89882390000093996414,5.48
89882390000093996422,1.25
89882390000093996430,6.75
89882390000093996448,5.44
89882390000093996463,9.64
89882390000093996497,8.04
89882390000093996505,9.23
89882390000093996513,6.89
89882390000093996539,6.60
89882390000093996570,5.48
89882390000093996596,8.95
89882390000093996604,5.48
89882390000093996646,6.60
89882390000093996661,6.65
89882390000093996679,5.48
89882390000093996695,5.48
89882390000093996703,5.48
89882390000093996711,9.00
89882390000093996901,5.48
89882390000093996927,5.48
89882390000093996943,5.48
89882390000093996950,5.27
89882390000093996984,42.96
89882390000093996992,0.65
89882390000093997016,8.53
89882390000093997024,5.48
89882390000093997032,9.22
89882390000093997040,0.65
89882390000093997057,0.65
89882390000093997065,0.65
89882390000093997099,0.65
89882390000093997131,5.48
89882390000093997156,0.65
89882390000093997172,5.48
89882390000093997180,5.48
89882390000093997198,8.80
89882390000093997214,5.06
89882390000093997222,5.48
89882390000093997230,5.48
89882390000093997248,5.06
89882390000093997271,8.56
89882390000093997297,6.75
89882390000093997347,4.12
89882390000093997362,0.00
89882390000093997370,4.39
89882390000093997404,3.66
89882390000093997412,2.58
89882390000093997420,4.39
89882390000093997446,3.86
89882390000093997487,2.58
89882390000093997495,3.30
89882390000093997503,8.13
89882390000093997552,855.30
89882390000093997578,8.02
89882390000093997602,8.33
89882390000093997628,9.85
89882390000093997636,3.62
89882390000093997644,2.07
89882390000093997651,4.64
89882390000093997669,4.30
89882390000093997685,3.45
89882390000093997776,5.48
89882390000093997792,9.50
89882390000093997826,5.48
89882390000093997834,6.75
89882390000093997842,9.85
89882390000093997859,8.33
89882390000093997867,8.33
89882390000093997875,4.78
89882390000093997891,8.33
89882390000093997909,9.62
89882390000093997917,2.79
89882390000093997933,3.43
89882390000093997966,5.70
89882390000093998006,5.48
89882390000093998022,7.41
89882390000093998030,7.00
89882390000093998048,9.50
89882390000093998055,9.85
89882390000093998089,4.39
89882390000093998113,4.38
89882390000093998121,3.45
89882390000093998139,3.45
89882390000093998147,3.45
89882390000093998154,3.45
89882390000093998188,8.80
89882390000093998196,5.48
89882390000093998204,8.80
89882390000093998220,5.48
89882390000093998261,4.34
89882390000093998279,8.44
89882390000093998287,5.48
89882390000093998303,3.45
89882390000093998311,8.22
89882390000093998329,4.78
89882390000093998345,8.03
89882390000093998352,5.48
89882390000093998378,3.45
89882390000093998386,3.45
89882390000093998410,5.27
89882390000093998428,5.48
89882390000093998436,8.44
89882390000093998444,8.80
89882390000093998469,5.48
89882390000093998477,8.03
89882390000093998485,8.80
89882390000093998493,5.48
89882390000093998543,9.23
89882390000093998550,4.44
89882390000093998576,3.03
89882390000093998584,9.22
89882390000093998600,5.48
89882390000093998626,2.90
89882390000093998634,5.48
89882390000093998683,3.82
89882390000093998733,3.82
89882390000093998758,3.82
89882390000093998766,3.82
89882390000093998774,3.82
89882390000094013839,5.48
89882390000121291739,45.68
