ICCID,Total_Kbytes
89882390000031217436,419.60999999999996
89882390000031402459,353.86
89882390000031402475,369.3
89882390000031402491,371.88
89882390000031402509,371.62
89882390000031402566,386.64
89882390000031402608,375.45
89882390000031402640,8.72
89882390000031402665,393.64
89882390000031402699,379.91
89882390000031402723,370.36
89882390000031402996,368.35
89882390000031403002,369.98
89882390000031403010,365.19
89882390000031403028,368.6
89882390000031403069,278.36
89882390000031403085,148.03
89882390000031403093,366.3
89882390000031403135,370.38
89882390000031403150,393.22
89882390000031403168,358.51
89882390000031403184,150.15
89882390000031403275,382.18
89882390000031403283,371.61
89882390000031403317,9.92
89882390000031403333,365.45
89882390000031403358,368.2
89882390000036023441,148.67
89882390000047985513,65.26
89882390000047985539,12.959999999999999
89882390000047985562,64.73
89882390000047985653,148.4
89882390000047985695,64.5
89882390000047985711,10.17
89882390000047985752,64.71000000000001
89882390000047985778,12.62
89882390000047985786,63.220000000000006
89882390000047985794,64.60000000000001
89882390000047985836,64.2
89882390000047985851,63.38
89882390000047985877,63.470000000000006
89882390000047986032,19.8
89882390000047986057,50.61
89882390000047986214,122.06
89882390000047986222,131.41
89882390000047986248,145.78
89882390000047986255,111.85000000000001
89882390000047986271,147.66
89882390000047986297,148.26
89882390000047986305,143.1
89882390000047986347,234.07999999999998
89882390000047986446,149.72
89882390000047986503,150.35999999999999
89882390000047986644,19.21
89882390000047986677,195.38
89882390000047986693,380.26
89882390000047986719,19.470000000000002
89882390000047986768,20.79
89882390000047986776,20.130000000000003
89882390000047986875,5264.32
89882390000047986891,4455.81
89882390000047986933,178.20999999999998
89882390000047986958,4366.2
89882390000047987006,4363.66
89882390000047987055,103.6
89882390000047987089,446.69
89882390000047987121,4385.71
89882390000047987147,16.19
89882390000047987279,140.74
89882390000047987543,4.98
89882390000047987576,2452.47
89882390000047987618,81.41
89882390000047987667,385.68
89882390000047987675,148.65
89882390000047987683,103.49
89882390000047987691,150.37
89882390000047987709,98.85
89882390000047987758,53.730000000000004
89882390000047987774,385.83
89882390000047987808,389.13
89882390000047987824,76.24
89882390000047987832,141.51
89882390000047987840,149.95
89882390000047987857,338.62
89882390000047987873,8576.01
89882390000047987907,137.10999999999999
89882390000047987915,97.35
89882390000047987931,8606.14
89882390000047987949,8359.96
89882390000047987998,114.58
89882390000047988012,386.92
89882390000047988038,0.27
89882390000047988061,394.98
89882390000047988079,171.94
89882390000047988137,149.94
89882390000047988145,332.44
89882390000047988152,8590.27
89882390000047988160,151.22
89882390000047988186,4511.07
89882390000047988202,348.06
89882390000047988236,170.97
89882390000047988269,148.69
89882390000047988277,148.68
89882390000047988285,149.32
89882390000047988293,150.57999999999998
89882390000047988343,147.21
89882390000047988350,391.13
89882390000047988384,49.64
89882390000047988426,97.37
89882390000047988434,84.61
89882390000047988517,145.92
89882390000047988525,28.16
89882390000047988533,149.10999999999999
89882390000047988574,135.92000000000002
89882390000047988582,7957.29
89882390000047988590,150.16
89882390000047988608,148.75
89882390000047988624,148.23
89882390000047988632,128.58
89882390000047988640,151.02
89882390000047988715,148.89
89882390000047988723,180.41
89882390000047988749,149.73
89882390000047988806,94.00999999999999
89882390000047988848,146.07
89882390000047988855,80.3
89882390000047988863,226.44
89882390000047988905,21438.03
89882390000047988913,87.82
89882390000047988921,152.7
89882390000047988962,149.03
89882390000047988996,148.04
89882390000047989010,443.15999999999997
89882390000047989036,150.17
89882390000047989044,148.68
89882390000047989051,179.64
89882390000047989069,189.33
89882390000047989226,148.66
89882390000047989317,146.57
89882390000047989341,148.48
89882390000047989390,148.04
89882390000047989440,149.52
89882390000047989572,19.8
89882390000047989598,392.2
89882390000047989630,145.75
89882390000047989648,19.14
89882390000047989689,19.14
89882390000047989697,19.14
89882390000047989721,89.37
89882390000047989879,40.93
89882390000047989952,150.16
89882390000047989978,193.22
89882390000047990018,149.10999999999999
89882390000047990026,230.07
89882390000047990323,149.94
89882390000047990349,149.52
89882390000047990364,147.82
89882390000093993874,983.4200000000001
89882390000093993908,213.09
89882390000093993924,235.45999999999998
89882390000093993957,237.83
89882390000093993965,237.78
89882390000093993973,151.21
89882390000093993999,80.56
89882390000093994054,1222.32
89882390000093994088,17.900000000000002
89882390000093994112,1158.72
89882390000093994138,236.76
89882390000093994161,149.95
89882390000093994179,1154.89
89882390000093994187,148.56
89882390000093994195,68.18
89882390000093994229,149.51999999999998
89882390000093994237,16.25
89882390000093994278,149.10999999999999
89882390000093994294,191.60999999999999
89882390000093994302,149.32
89882390000093994310,73.37
89882390000093994344,73.99
89882390000093994369,18.900000000000002
89882390000093994377,18.86
89882390000093994393,2.29
89882390000093994419,18.89
89882390000093994476,211.20000000000002
89882390000093994526,98.67
89882390000093994542,149.09
89882390000093994559,43.9
89882390000093994575,211.79
89882390000093994583,149.95
89882390000093994609,236.58
89882390000093994641,1322.8999999999999
89882390000093994658,235.29
89882390000093994666,238.35999999999999
89882390000093994708,240.82
89882390000093994716,235.88
89882390000093994724,236.43
89882390000093994732,105.47
89882390000093994757,18.87
89882390000093994799,1178.29
89882390000093994823,192.53
89882390000093994849,101.45
89882390000093994864,150.16
89882390000093994872,87.78
89882390000093994880,88.53
89882390000093994898,89.4
89882390000093994906,150.37
89882390000093994930,150.17
89882390000093994955,92.22
89882390000093994963,4.18
89882390000093995002,148.06
89882390000093995010,148.26999999999998
89882390000093995028,149.75
89882390000093995036,215.28
89882390000093995069,211.87
89882390000093995077,5.2
89882390000093995119,4.48
89882390000093995127,148.27
89882390000093995143,100.85000000000001
89882390000093995168,150.6
89882390000093995200,148.26
89882390000093995218,214.09
89882390000093995234,212.36
89882390000093995267,4.48
89882390000093995283,4.48
89882390000093995325,3.57
89882390000093995341,4.48
89882390000093995358,334.33
89882390000093995374,0.0
89882390000093995382,3.57
89882390000093995424,4.48
89882390000093995432,149.32
89882390000093995465,393.40000000000003
89882390000093995481,11.75
89882390000093995507,189.39
89882390000093995580,148.05
89882390000093995598,211.95
89882390000093995671,150.16
89882390000093995713,4.18
89882390000093995747,215.5
89882390000093995762,149.96
89882390000093995788,213.88
89882390000093995796,149.98
89882390000093995804,465.54
89882390000093995812,387.73
89882390000093995820,104.33
89882390000093995846,4.960000000000001
89882390000093995861,149.54
89882390000093995879,5.92
89882390000093995895,213.57
89882390000093995911,148.27
89882390000093995945,5.01
89882390000093995960,88.56
89882390000093995978,152.9
89882390000093995994,149.95
89882390000093996042,150.79999999999998
89882390000093996067,77.81
89882390000093996109,211.97
89882390000093996158,214.61
89882390000093996174,4.18
89882390000093996190,4.18
89882390000093996208,4.48
89882390000093996216,4.48
89882390000093996257,150.79
89882390000093996265,3.57
89882390000093996281,218.71
89882390000093996315,148.26
89882390000093996323,88.76
89882390000093996331,88.89
89882390000093996349,154.14
89882390000093996414,148.72
89882390000093996422,37.43
89882390000093996430,1160.78
89882390000093996448,148.69
89882390000093996463,439.88
89882390000093996497,443.78
89882390000093996505,1166.97
89882390000093996513,203.27
89882390000093996539,178.22
89882390000093996562,467.26
89882390000093996570,149.96
89882390000093996588,303.74
89882390000093996596,271.57
89882390000093996604,153.76999999999998
89882390000093996646,163.13
89882390000093996661,182.15
89882390000093996679,150.37
89882390000093996687,292.29
89882390000093996695,150.57999999999998
89882390000093996703,149.75
89882390000093996711,397.06
89882390000093996885,148.82999999999998
89882390000093996901,152.07
89882390000093996927,150.59
89882390000093996935,234.99
89882390000093996943,147.63
89882390000093996950,141.75
89882390000093996984,1180.05
89882390000093996992,18.87
89882390000093997016,229.88
89882390000093997024,148.67
89882390000093997032,296.31
89882390000093997040,19.51
89882390000093997057,19.21
89882390000093997065,18.87
89882390000093997099,18.57
89882390000093997107,228.73
89882390000093997115,234.98999999999998
89882390000093997123,148.9
89882390000093997131,142.32
89882390000093997156,18.86
89882390000093997164,149.74
89882390000093997172,150.15
89882390000093997180,149.74
89882390000093997198,241.93
89882390000093997214,148.06
89882390000093997222,149.73
89882390000093997248,151.22
89882390000093997271,378.96
89882390000093997297,6.359999999999999
89882390000093997305,142.38
89882390000093997347,95.22
89882390000093997362,134.07
89882390000093997370,123.47
89882390000093997388,91.64
89882390000093997404,99.44
89882390000093997412,18.54
89882390000093997420,123.49
89882390000093997446,106.01
