Operator_Reseller,Parent_organisation,Customer,Customer_Id,BAN,Service_Profile,Service_profile_Id,Group,Tariff,Tariff_Id,IMSI,SIM_Type,ICCID,MSISDN,CSD_MSISDN,IMEI,Last_det._IMEI,Last_det._IMEI_timestamp,SIM_State,Last_state_change,Home_Country,Custom_Attribute_1,Custom_Attribute_2,Custom_Attribute_3,Custom_Attribute_4,Custom_Attribute_5,Created_on,Has_Been_Active.Live,Data_session_status,First_time_Active.Live,First_Used,Has_Been_Active.Test,Active.test_started_on,Nr._of_SIMs,Last_Country,Last_Serving_Network,Last_APN,Last_Cell_Id,Last_IP_Address,Last_IP_address_type,Static_IPv4_address_per_APN,Framed_IPv6_prefix_per_APN,Delegated_IPv6_prefix_per_APN,eCall_mode,VPN_group,Order_reference,Linked_device,EID,eUICC_Profile_State,POL1,POL2,SMDP,Fallback,eUICC_Profile_Downloaded_Date,SIM_Form_Factor,SIM_Profile_Code
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000011120,USIM,89882390000031001400,882398000011120,,8677230301156500,8634050401154101,2021-01-12 15:08:04 +02:00,Active.Live,2023-07-10 10:18:45 +02:00,Czech Republic,,,,,,2017-11-01 17:02:28 +02:00,Y,R,2020-03-31 12:19:19 +02:00,2020-04-04 21:55:17 +02:00,N,,1,Czech Republic,VFCZ,hardwario.com,230-03-49700-1313569-130,10.0.1.251,IPv4,hardwario.com:10.0.1.251;,,,M2M SIM that also supports E-Call,,VFCZ3002421843_SP3FF,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000011121,USIM,89882390000031001418,882398000011121,,,,,Inactive,2019-05-03 14:46:33 +02:00,,,,,,,2017-11-01 17:02:28 +02:00,N,R,,,N,,1,,,,,,,,,,M2M SIM that also supports E-Call,,VFCZ3002421843_SP3FF,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000011122,USIM,89882390000031001426,882398000011122,,,3526561094133515,2021-06-07 20:57:19 +02:00,Active.Live,2021-11-17 12:45:36 +02:00,Czech Republic,,,,,,2017-11-01 17:02:29 +02:00,Y,R,2021-06-07 20:55:50 +02:00,2021-06-07 20:57:19 +02:00,N,,1,Czech Republic,VFCZ,hardwario.com,230-03-46100-1011233-130,10.0.12.10,IPv4,hardwario.com:10.0.12.10;,,,M2M SIM that also supports E-Call,,VFCZ3002421843_SP3FF,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000011123,USIM,89882390000031001434,882398000011123,,,,,Inactive,2019-05-03 14:46:33 +02:00,,,,,,,2017-11-01 17:02:29 +02:00,N,R,,,N,,1,,,,,,,,,,M2M SIM that also supports E-Call,,VFCZ3002421843_SP3FF,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000011124,USIM,89882390000031001442,882398000011124,,,,,Inactive,2019-05-03 14:46:33 +02:00,,,,,,,2017-11-01 17:02:29 +02:00,N,R,,,N,,1,,,,,,,,,,M2M SIM that also supports E-Call,,VFCZ3002421843_SP3FF,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000011125,USIM,89882390000031001459,882398000011125,,,,,Inactive,2019-05-03 14:46:33 +02:00,,,,,,,2017-11-01 17:02:29 +02:00,N,R,,,N,,1,,,,,,,,,,M2M SIM that also supports E-Call,,VFCZ3002421843_SP3FF,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000011126,USIM,89882390000031001467,882398000011126,,3575190800861100,3575190800861100,2019-06-07 08:23:52 +02:00,Active.Live,2020-04-27 11:37:44 +02:00,New Zealand,,,,,,2017-11-01 17:02:29 +02:00,Y,R,2019-06-07 08:21:59 +02:00,2019-06-07 08:25:16 +02:00,N,,1,New Zealand,VFNZ,hardwario.com,530-01-49440-311654-130,10.0.0.176,IPv4,hardwario.com:10.0.0.176;,,,M2M SIM that also supports E-Call,,VFCZ3002421843_SP3FF,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000011127,USIM,89882390000031001475,882398000011127,,3575190800862300,3575190800862300,2019-07-31 15:59:09 +02:00,Active.Live,2021-09-13 15:09:09 +02:00,New Zealand,,,,,,2017-11-01 17:02:29 +02:00,Y,R,2019-07-31 15:57:43 +02:00,2019-07-31 15:58:36 +02:00,N,,1,New Zealand,VFNZ,hardwario.com,530-01-50800-755557-130,10.0.1.133,IPv4,hardwario.com:10.0.1.133;,,,M2M SIM that also supports E-Call,,VFCZ3002421843_SP3FF,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000011128,USIM,89882390000031001483,882398000011128,,3575190800862600,3575190800862600,2019-07-31 15:19:39 +02:00,Active.Live,2020-01-21 21:49:10 +02:00,New Zealand,,,,,,2017-11-01 17:02:29 +02:00,Y,R,2019-07-31 15:17:22 +02:00,2019-07-31 15:18:31 +02:00,N,,1,New Zealand,VFNZ,hardwario.com,530-01-49440-311654-130,10.0.1.134,IPv4,hardwario.com:10.0.1.134;,,,M2M SIM that also supports E-Call,,VFCZ3002421843_SP3FF,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,hardwario_100kb_lpwa_CSP,100676000,,HARDWARIO_100KB_LPWA_TARIFF,100437580,901288000011485,USIM,89882390000031205050,882398000011485,,8677230304141200,8677230304190300,2022-02-25 22:47:27 +02:00,Active.Live,2022-03-08 10:21:47 +02:00,Czech Republic,,,,,,2017-11-10 13:16:42 +02:00,Y,R,2018-06-20 14:07:23 +02:00,2018-06-20 13:57:35 +02:00,N,,1,Czech Republic,VFCZ,hardwario,230-03-48400-631327-130,172.28.0.55,IPv4,hardwario:172.28.0.55;multi.lab.vfcz:10.0.3.100;,,,M2M SIM that also supports E-Call,,,###863703033947560###,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_3SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000012700,USIM,89882390000031217204,882398000012700,,8663490400130502,8663490400436602,2020-03-06 10:55:24 +02:00,Active.Live,2020-02-21 09:58:45 +02:00,Czech Republic,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:14 +02:00,2019-12-30 20:17:49 +02:00,N,,1,Czech Republic,VFCZ,hardwario.com,230-03-48200-684575-130,10.0.0.138,IPv4,hardwario.com:10.0.0.138;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012701,USIM,89882390000031217212,882398000012701,,,,,Active.Live,2020-01-21 21:49:13 +02:00,,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:15 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.136;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012702,USIM,89882390000031217220,882398000012702,,,,,Active.Live,2020-01-21 21:49:13 +02:00,,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:23 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.14;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012703,USIM,89882390000031217238,882398000012703,,3575180800881000,3575180800881000,2018-03-14 04:51:37 +02:00,Active.Live,2020-01-21 21:49:13 +02:00,Czech Republic,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:15 +02:00,2018-03-13 15:03:03 +02:00,N,,1,Czech Republic,VFCZ,ep.inetd.gdsp,230-03-44200-515616-130,10.21.121.37,IPv4,hardwario.com:10.0.0.141;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000012704,USIM,89882390000031217246,882398000012704,,8679970300691365,8634050400336901,2020-04-13 02:25:17 +02:00,Active.Live,2020-11-06 10:23:00 +02:00,Czech Republic,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:23 +02:00,2019-02-20 00:58:03 +02:00,N,,1,Czech Republic,VFCZ,hardwario.com,230-03-705823-129,10.0.0.137,IPv4,hardwario.com:10.0.0.137;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012705,USIM,89882390000031217253,882398000012705,,,,,Active.Live,2020-01-21 21:49:12 +02:00,,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:23 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.140;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012706,USIM,89882390000031217261,882398000012706,,,,,Active.Live,2020-01-21 21:49:12 +02:00,,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:22 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.142;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012707,USIM,89882390000031217279,882398000012707,,,,,Active.Live,2020-01-21 21:49:12 +02:00,,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:12 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.139;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012708,USIM,89882390000031217287,882398000012708,,,,,Active.Live,2020-01-21 21:49:12 +02:00,,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:19 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.135;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012709,USIM,89882390000031217295,882398000012709,,,,,Active.Live,2020-01-21 21:49:12 +02:00,,,,,,,2017-11-16 16:18:33 +02:00,Y,R,2018-01-02 16:07:15 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.143;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012710,USIM,89882390000031217303,882398000012710,,,,,Active.Live,2020-01-21 21:49:14 +02:00,,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:15 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.145;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012711,USIM,89882390000031217311,882398000012711,,,,,Active.Live,2020-01-21 21:49:13 +02:00,,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:15 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.144;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012712,USIM,89882390000031217329,882398000012712,,,,,Active.Live,2020-01-21 21:49:13 +02:00,,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:13 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.149;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012713,USIM,89882390000031217337,882398000012713,,,,,Active.Live,2020-01-21 21:49:14 +02:00,,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:14 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.146;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012714,USIM,89882390000031217345,882398000012714,,,,,Active.Live,2020-01-21 21:49:14 +02:00,,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:13 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.150;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012715,USIM,89882390000031217352,882398000012715,,,,,Active.Live,2020-01-21 21:49:12 +02:00,,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:15 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.148;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012716,USIM,89882390000031217360,882398000012716,,,,,Active.Live,2020-01-21 21:49:13 +02:00,,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:13 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.147;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012717,USIM,89882390000031217378,882398000012717,,,,,Active.Live,2020-01-21 21:49:14 +02:00,,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:13 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.15;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012718,USIM,89882390000031217386,882398000012718,,,3575170801380100,2021-06-15 13:27:38 +02:00,Active.Live,2020-01-21 21:49:13 +02:00,Czech Republic,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:23 +02:00,2021-05-31 15:44:20 +02:00,N,,1,Czech Republic,VFCZ,hardwario.com,230-03-1011233-129,10.0.0.153,IPv4,hardwario.com:10.0.0.153;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012719,USIM,89882390000031217394,882398000012719,,,,,Active.Live,2020-01-21 21:49:10 +02:00,,,,,,,2017-11-16 16:18:34 +02:00,Y,R,2018-01-02 16:07:13 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.155;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012720,USIM,89882390000031217402,882398000012720,,,,,Active.Live,2020-01-21 21:49:12 +02:00,,,,,,,2017-11-16 16:18:24 +02:00,Y,R,2018-01-02 16:07:13 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.158;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012721,USIM,89882390000031217410,882398000012721,,,,,Active.Live,2020-01-21 21:49:13 +02:00,,,,,,,2017-11-16 16:18:24 +02:00,Y,R,2018-01-02 16:07:13 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.152;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012722,USIM,89882390000031217428,882398000012722,,,,,Active.Live,2020-01-21 21:49:13 +02:00,,,,,,,2017-11-16 16:18:24 +02:00,Y,R,2018-01-02 16:07:13 +02:00,,N,,1,,,,,,,hardwario.com:10.0.0.154;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000012723,USIM,89882390000031217436,882398000012723,,8677230304737700,3526561061094718,2021-02-21 03:39:27 +02:00,Active.Live,2023-04-24 10:22:34 +02:00,Czech Republic,hardwario,michal,,,,2017-11-16 16:18:24 +02:00,Y,R,2018-01-02 16:07:13 +02:00,2019-09-06 11:24:32 +02:00,N,,1,Czech Republic,VFCZ,hardwario.com,230-03-48200-684576-130,10.0.0.157,IPv4,hardwario.com:10.0.0.157;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000012724,USIM,89882390000031217444,882398000012724,,8637030339568200,8637030339568200,2018-01-11 22:05:46 +02:00,Active.Live,2020-01-21 21:49:12 +02:00,Czech Republic,,,,,,2017-11-16 16:18:24 +02:00,Y,R,2018-01-02 16:07:13 +02:00,2018-01-11 21:59:28 +02:00,N,,1,Czech Republic,VFCZ,ep.inetd.gdsp,230-03-48085-217376-130,10.21.117.210,IPv4,hardwario.com:10.0.0.156;,,,M2M SIM that also supports E-Call,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,MMO_F2_048_2SG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000016200,USIM,89882390000031402418,882398000016200,,3575170801485200,3575170801485200,2018-05-07 11:38:09 +02:00,Active.Live,2019-06-28 09:15:19 +02:00,Czech Republic,hardwario,pavel,,,,2017-10-30 17:57:14 +02:00,Y,R,2018-05-17 22:55:37 +02:00,2018-05-17 22:51:37 +02:00,Y,2018-05-07 11:37:50 +02:00,1,Czech Republic,VFCZ,hardwario.com,230-03-46200-140321-130,10.0.0.3,IPv4,hardwario.com:10.0.0.3;,,,M2M SIM that also supports E-Call,,3002430373,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,MGO_F2_048_IIG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000016201,USIM,89882390000031402426,882398000016201,,,,,Inactive,2018-04-30 09:43:49 +02:00,,,,,,,2017-10-30 17:57:14 +02:00,N,R,,,N,,1,,,,,,,,,,M2M SIM that also supports E-Call,,3002430373,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,MGO_F2_048_IIG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000016202,USIM,89882390000031402434,882398000016202,,3575170801516300,3575170801516300,2018-05-08 03:38:00 +02:00,Active.Live,2019-09-03 14:15:46 +02:00,Czech Republic,hardwario,michal,,,,2017-10-30 17:57:14 +02:00,Y,R,2018-08-06 03:02:25 +02:00,2018-05-30 19:21:18 +02:00,Y,2018-05-08 03:36:30 +02:00,1,Czech Republic,VFCZ,hardwario.com,230-03-44600-492063-130,10.0.0.4,IPv4,hardwario.com:10.0.0.4;,,,M2M SIM that also supports E-Call,,3002430373,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,MGO_F2_048_IIG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000016203,USIM,89882390000031402442,882398000016203,,3575170801535200,3575170801535200,2018-06-04 03:23:50 +02:00,Active.Live,2018-06-11 04:10:10 +02:00,Czech Republic,kurovec,,,,,2017-10-30 17:57:14 +02:00,Y,R,2018-06-11 04:10:10 +02:00,2018-06-15 06:21:59 +02:00,Y,2018-06-03 22:33:59 +02:00,1,Czech Republic,VFCZ,hardwario.com,230-03-41300-594463-130,10.0.0.100,IPv4,hardwario.com:10.0.0.100;,,,M2M SIM that also supports E-Call,,3002430373,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,MGO_F2_048_IIG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000016204,USIM,89882390000031402459,882398000016204,,3575170801535100,3575170801535100,2018-06-04 06:26:10 +02:00,Active.Live,2020-12-15 22:20:03 +02:00,Czech Republic,kurovec,,,,,2017-10-30 17:57:14 +02:00,Y,R,2018-06-11 07:27:54 +02:00,2018-06-18 04:47:49 +02:00,Y,2018-06-03 22:34:49 +02:00,1,Czech Republic,VFCZ,hardwario.com,230-03-911393-129,10.0.0.101,IPv4,hardwario.com:10.0.0.101;,,,M2M SIM that also supports E-Call,,3002430373,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,MGO_F2_048_IIG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_60K_NB_CSP,100344540,,HARDWARIO_60K_NB_TARIFF,100267370,901288000016205,USIM,89882390000031402467,882398000016205,,3575170801534500,3575170801534500,2018-06-04 06:31:19 +02:00,Active.Ready,2018-06-12 02:34:49 +02:00,,kurovec,,,,,2017-10-30 17:57:14 +02:00,N,R,,,Y,2018-06-03 22:35:05 +02:00,1,Czech Republic,VFCZ,hardwario.com,230-03-46100-1011233-130,10.0.0.102,IPv4,hardwario.com:10.0.0.102;,,,M2M SIM that also supports E-Call,,3002430373,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,MGO_F2_048_IIG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000016206,USIM,89882390000031402475,882398000016206,,3575170801533600,3575170801533600,2018-06-04 06:26:11 +02:00,Active.Live,2020-12-16 00:11:18 +02:00,Czech Republic,hardwario,,,,,2017-10-30 17:57:14 +02:00,Y,R,2018-06-11 07:25:10 +02:00,2018-06-11 11:31:38 +02:00,Y,2018-06-03 22:35:09 +02:00,1,Czech Republic,VFCZ,hardwario.com,230-03-911393-129,10.0.0.103,IPv4,hardwario.com:10.0.0.103;,,,M2M SIM that also supports E-Call,,3002430373,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,MGO_F2_048_IIG_1XXX
VFCZ,VFCZ,HARDWARIO,100217240,,HARDWARIO_1M_NB_CSP,100344550,,HARDWARIO_1M_NB_TARIFF,100267380,901288000016207,USIM,89882390000031402483,882398000016207,,3575170801533500,3575170801533500,2018-06-04 06:21:14 +02:00,Active.Sleep,2023-01-07 06:53:01 +02:00,Czech Republic,hardwario,,,,,2017-10-30 17:57:14 +02:00,Y,R,2018-06-13 17:55:50 +02:00,2018-06-13 15:22:14 +02:00,Y,2018-06-03 22:35:15 +02:00,1,Czech Republic,VFCZ,hardwario.com,230-03-48800-112160-130,10.0.0.104,IPv4,hardwario.com:10.0.0.104;,,,M2M SIM that also supports E-Call,,3002430373,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,MGO_F2_048_IIG_1XXX
